	ancestor	descendant	pfam	desc_seq_len	alignment_len	logP	logP/normlength	perplexity
0	A0A212FEB2_DANPL/343-1250	Q16ZZ3_AEDAE/341-1248	PF05994	908	910	-19.18173	-1.2965368	0.27347723
1	T1EFH1_HELRO/342-1241	T1KBJ9_TETUR/354-1253	PF05994	900	919	-19.18173	-1.6985748	0.18294406
2	A0A1I7VEQ6_LOALO/8-1124	GEX3_CAEEL/7-1138	PF09735	1132	1134	-19.18173	-2.1015086	0.12227183
3	D3BEK9_POLPP/3-1143	F4PJ73_CAVFA/9-1147	PF09735	1139	1149	-19.18173	-1.4209756	0.24147832
4	D2VRF9_NAEGR/3-1147	F0ZPQ3_DICPU/3-1142	PF09735	1140	1214	-19.18173	-3.5704174	0.028144106
5	NCKP1_ORYSJ/84-1242	NCKP1_ARATH/99-1295	PF09735	1197	1202	-19.18173	-1.2860457	0.27636147
6	F2UBA5_SALR5/10-1091	NAPA_NEMVE/8-1114	PF09735	1107	1125	-19.18173	-3.3635411	0.034612473
7	A0A669EQ98_ORENI/3-1117	W5MCK4_LEPOC/7-1121	PF09735	1115	1115	-19.18173	-1.2969474	0.273365
8	H3AGV0_LATCH/7-1126	G3QZ73_GORGO/7-1123	PF09735	1117	1122	-19.18173	-1.4403396	0.23684731
9	H2ZNY3_CIOSA/7-1126	NCKP1_MOUSE/9-1122	PF09735	1114	1124	-19.18173	-1.7068434	0.18143761
10	B7Q0Z5_IXOSC/8-1125	T1ED31_HELRO/8-1116	PF09735	1109	1122	-17.35933	-2.0059888	0.1345272
11	E0W2A8_PEDHC/8-1115	E9FST5_DAPPU/8-1115	PF09735	1108	1110	-17.35933	-1.1864437	0.3053051
12	D7EI65_TRICA/8-1117	Q7PPI1_ANOGA/8-1116	PF09735	1109	1111	-17.35933	-1.1619678	0.31286994
13	B4JW54_DROGR/1-859	B4MQL1_DROWI/1-832	PF09742	832	864	-17.35933	-1.2102205	0.29813156
14	W5JW75_ANODA/1-876	A0A8R2AE25_ACYPI/1-737	PF09742	737	876	-17.35933	-1.660009	0.19013727
15	D7FT96_ECTSI/1-808	B7S488_PHATC/1-694	PF09742	694	813	-17.35933	-2.8183348	0.05970528
16	J9F5Y0_WUCBA/1-661	A8WTE9_CAEBR/1-690	PF09742	690	706	-17.35933	-2.2179675	0.10883007
17	E9G1Z8_DAPPU/1-634	T1JUN4_TETUR/1-644	PF09742	644	665	-17.35933	-2.8248055	0.059320197
18	B0WBZ3_CULQU/1-681	DYM_DROME/1-676	PF09742	676	695	-17.35933	-1.3972605	0.24727343
19	H0VNU2_CAVPO/1-646	DYM_XENTR/1-646	PF09742	646	646	-17.35933	-0.8763304	0.4163078
20	I3JLL2_ORENI/1-646	F6TGV4_CIOIN/1-683	PF09742	683	687	-29.114677	-2.5219235	0.080304995
21	T1FYR2_HELRO/1-642	E0VAE1_PEDHC/1-723	PF09742	723	733	-29.114677	-2.7235954	0.06563833
22	D0NH97_PHYIT/1-769	M4C137_HYAAE/1-768	PF09742	768	791	-29.114677	-1.6356164	0.19483222
23	C1FEV8_MICCC/1-967	Q01H67_OSTTA/37-725	PF09742	689	1032	-29.114677	-4.223851	0.014642145
24	Q8RWV1_ARATH/1-679	I1MHZ5_SOYBN/1-671	PF09742	671	682	-29.114677	-1.7396113	0.17558864
25	W1NV48_AMBTC/1-680	A0A0P0V8T4_ORYSJ/1-682	PF09742	682	685	-29.114677	-1.5126499	0.22032537
26	E1ZEP5_CHLVA/1-748	A0A7M7N096_STRPU/1-667	PF09742	667	787	-29.114677	-3.3867385	0.033818793
27	Q5CRW2_CRYPI/1-755	B6A9V3_CRYMR/1-799	PF09742	799	852	-29.114677	-3.6101289	0.02704836
28	Q4DJF1_TRYCC/1-734	Q38FE7_TRYB2/1-707	PF09742	707	896	-29.114677	-4.405517	0.012209792
29	HID1_DICDI/1-882	M4BPB3_HYAAE/1-729	PF09742	729	922	-29.114677	-3.3550456	0.03490778
30	I3KNU8_ORENI/21-802	H3BX91_TETNG/1-768	PF09742	768	810	-16.266552	-1.4901271	0.225344
31	A0A3B3HZX9_ORYLA/1-772	A0A3B5QAQ4_XIPMA/1-781	PF09742	781	783	-16.266552	-1.1856123	0.305559
32	L9KZV5_TUPCH/1-826	H3AL71_LATCH/1-849	PF09742	849	909	-16.266552	-1.3403733	0.26174796
33	H2XV68_CIOIN/1-762	I3JCX3_ORENI/1-776	PF09742	776	783	-16.266552	-1.7761816	0.16928332
34	T1K251_TETUR/1-842	B3RQA8_TRIAD/1-734	PF09742	734	863	-16.266552	-1.8645079	0.15497245
35	E9H938_DAPPU/1-832	E0VG76_PEDHC/1-766	PF09742	766	832	-16.266552	-1.5811704	0.20573415
36	F4WRP0_ACREC/1-730	D6WWB7_TRICA/1-769	PF09742	769	769	-16.266552	-1.2171423	0.29607505
37	A0EZ21_9ABAC/7-640	D7F5P5_9ABAC/8-647	PF12259	640	647	-16.266552	-2.0310793	0.13119385
38	C3TX42_9ABAC/5-650	W5VLE4_NPVBS/5-637	PF12259	633	650	-16.266552	-1.9528922	0.14186318
39	B0FDZ5_9ABAC/11-664	S5MK87_9ABAC/7-647	PF12259	641	658	-16.266552	-1.8274652	0.1608207
